Population	Number	Length (mm)	Width (mm)	Number of Eggs	Dry Mass (mg)
Nahant	1	14.618	4.186	172	7.2
Nahant	2	12.643	3.419	110	9
Nahant	3	11.372	3.653	80	3.8
Nahant	4	12.917	3.874	104	4.5
Nahant	5	13.919	4.104	148	10.4
Nahant	6	11.986	3.852	83	5.3
Nahant	7	14.406	4.681	184	10.6
Nahant	8	13.722	4.471	79	10.9
Nahant	9	13.029	4.2	86	9.9
Nahant	10	11.854	3.848	58	8
Nahant	11	11.708	3.845	82	7.5
Nahant	12	11.737	3.443	76	4.4
Nahant	13	12.448	4.039	64	8.8
Nahant	14	12.713	4.122	80	8.7
Nahant	15	12.863	4.336	67	8.3
Nahant	16	14.546	4.808	170	12.9
Nahant	17	12.502	4.181	80	8.5
Nahant	18	13.078	4.351	82	10.4
Nahant	19	12.378	3.717	54	8.6
Nahant	20	13.756	4.226	116	8.5
Nahant	21	13.667	4.208	94	10.3
Nahant	22	14.028	4.188	103	10.1
Nahant	23	14.135	4.156	152	9.9
Nahant	24	12.71	4.01	106	8.4
Nahant	25	12.728	4.098	104	9.2
Nahant	26	13.251	3.827	106	8.8
Nahant	27	12.998	4.047	66	7.4
Nahant	28	14.6	4.124	93	10.4
Nahant	29	12.59	3.881	85	8.1
Nahant	30	13.492	3.989	118	9.5
Nahant	31	12.318	3.742	82	5.7
Nahant	32	14.324	4.019	46	9.8
Nahant	33	12.544	3.846	84	4.7
Nahant	34	13.506	3.969	98	9.3
Nahant	35	13.632	4.226	114	10.2
Nahant	36	14.807	4.521	130	13.2
Nahant	37	12.031	3.459	37	6.1
Nahant	38	10.929	3.217	59	5.3
Nahant	39	16.674	4.544	120	12.3
Nahant	40	11.633	3.018	68	6.4
Nahant	41	15.503	4.383	157	11.7
Nahant	42	12.637	3.423	61	7
Nahant	43	12.931	3.229	65	6.2
Nahant	44	13.032	3.815	90	7.9
Nahant	45	11.577	3.456	83	4.6
Nahant	46	12.107	3.699	71	3.8
Nahant	47	13.31	4.159	103	6.6
Nahant	48	12.65	3.901	85	7.4
Nahant	49	14.703	4.256	69	10.4
Nahant	50	13.577	3.692	108	8.5
CCVA	1	11.508	2.477	32	3
CCVA	2	9.201	2.389	14	1.5
CCVA	3	10.095	2.702	20	3.8
CCVA	4	11.266	3.12	26	3.1
CCVA	5	11.322	3.096	35	4.2
CCVA	6	9.865	2.594	21	2.1
CCVA	7	10.74	2.914	43	2.4
CCVA	8	12.474	3.473	45	5
CCVA	9	9.963	2.735	29	2.2
CCVA	10	8.969	2.461	25	2.4
CCVA	11	9.832	2.794	34	2
CCVA	12	9.732	2.453	19	1.9
CCVA	13	8.986	2.164	14	1.4
CCVA	14	10.154	2.705	23	3.1
CCVA	15	9.923	2.363	15	0.6
CCVA	16	9.717	2.424	27	2.1
CCVA	17	10.112	2.802	24	2.4
CCVA	18	10.991	2.893	39	3.4
CCVA	19	9.613	2.679	31	2.6
CCVA	20	11.957	2.985	40	5.1
CCVA	21	10.761	2.581	31	2.4
CCVA	22	9.991	2.791	32	1.3
CCVA	23	9.269	2.486	10	2.9
CCVA	24	11.111	2.923	31	3.4
CCVA	25	9.939	2.864	31	2.2
CCVA	26	9.142	2.021	10	1.9
CCVA	27	10.603	2.689	16	1.8
CCVA	28	8.739	2.301	19	1.7
CCVA	29	9.137	2.091	5	1.5
CCVA	30	12.219	3.475	53	4.5
CCVA	31	11.492	3.035	22	3.6
CCVA	32	10.59	2.274	9	2
