Region	Population	Sex	Length (mm)	Width (mm)
South	CCVA	F	17	4
South	CCVA	F	12.5	3
South	CCVA	F	14	3
South	CCVA	F	16	4.5
South	CCVA	F	13	4
South	CCVA	F	10	3
South	CCVA	F	11.5	3.5
South	CCVA	F	13	3.5
South	CCVA	F	10	2.5
South	CCVA	M	18	4
South	CCVA	M	18	5
South	CCVA	M	14	4
South	CCVA	M	18	4
South	CCVA	M	14	3.5
South	CCVA	M	12.5	3
South	CCVA	M	20	5
South	CCVA	M	21	5
South	CCVA	M	17	4.5
South	CCVA	M	14.5	3
South	CCVA	M	17	4
South	CCVA	M	14	3.5
South	CCVA	M	15	4
South	CCVA	M	18	4
South	CCVA	M	19	4.5
South	CCVA	M	15	3.5
South	CCVA	M	21	5
South	CCVA	M	21	5
South	CCVA	M	22	5
South	CCVA	M	19	5
South	CCVA	M	14	3
South	CCVA	M	18.5	4.5
South	CCVA	M	14	3
South	CCVA	M	15	3.5
South	CCVA	M	14	3
South	CCVA	M	16	4
South	CCVA	M	13.5	3
South	CCVA	M	17	4
South	CCVA	M	13	2.5
South	CCVA	M	14.5	4
South	CCVA	M	14	3.5
South	CCVA	M	16	4.5
South	CCVA	M	14	3
South	CCVA	M	14	3.5
South	CCVA	M	14	4
South	CCVA	M	17	4.5
South	CCVA	M	17.5	4.5
South	CCVA	M	17	4
South	CCVA	M	21	6
North	Magnolia	F	19	6
North	Magnolia	F	19	5.5
North	Magnolia	F	18.5	5.5
North	Magnolia	F	15.5	4.6
North	Magnolia	F	14	4
North	Magnolia	F	18	5.5
North	Magnolia	F	14	3.5
North	Magnolia	F	19	6
North	Magnolia	F	17	6
North	Magnolia	F	15	4.6
North	Magnolia	F	15	4.5
North	Magnolia	F	13	3
North	Magnolia	F	13	4
North	Magnolia	F	16	5
North	Magnolia	F	15	4
North	Magnolia	F	15	4.5
North	Magnolia	F	15.5	4.5
North	Magnolia	F	15.5	4.5
North	Magnolia	F	16	5
North	Magnolia	F	16.5	5
North	Magnolia	M	18.5	5
North	Magnolia	M	19.5	5.5
North	Magnolia	M	22.5	7
North	Magnolia	M	16.5	5
North	Magnolia	M	20.5	6
North	Magnolia	M	17	5.5
North	Magnolia	M	20	5
North	Magnolia	M	24.5	8
North	Magnolia	M	18	5
North	Magnolia	M	14.5	4
North	Magnolia	M	26.5	8
North	Magnolia	M	19	6
North	Magnolia	M	18.5	5
North	Magnolia	M	13	3
North	Nahant	F	16	4.5
North	Nahant	F	16	4.5
North	Nahant	F	15.5	5
North	Nahant	F	16	5
North	Nahant	F	16	4.5
North	Nahant	F	17	5
North	Nahant	F	18	5
North	Nahant	F	19	5.5
North	Nahant	F	17	5
North	Nahant	F	18	5
North	Nahant	F	15	4
North	Nahant	F	15	5
North	Nahant	F	16	4.5
North	Nahant	F	16	4.5
North	Nahant	F	16	5
North	Nahant	F	15	5
North	Nahant	F	13	4
North	Nahant	F	14	4
North	Nahant	F	16	4.5
North	Nahant	F	15	4
North	Nahant	F	16	5
North	Nahant	F	14	4
North	Nahant	F	17	5
North	Nahant	F	14	4
North	Nahant	F	14	4
North	Nahant	F	14	4
